 Roll Number, Gender,Location,What_are_the_usual_causes_of_stress_in_your_daily_online_class ,What_are_the_usual_behavioral_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_PSYCHOLOGICAL_or_EMOTIONAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_PHYSICAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_COGNITIVE_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_SOCIAL_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_your_personal_methods_to_relieve_stress,How_stressed_do_you_feel_on_a_daily_basis_during_the_academic_year,Found_that_you_could_not_cope_with_all_the_things_you_had_to_do,When_do_you_feel_mostly_stressed,How_effective_has_remote_learning_been_for_you                  ,How_well_could_you_manage_time_while_learning_remotely,Do_you_enjoy_learning_remotely
2010030191,Male,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030002,Male,Urban,Environmental Background Noise,No changes in behaviour,No psychological and emotional effect,No physical effect,Confusion,Difficulty sharing ideas,Social Media,Less Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, absolutely"
2010030054,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Very effective,Good,"Yes, absolutely"
160030158,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Computer Games,Not Stressed at All,Never,Never feel stressed,Not at all effective,Very good,Never
190330257,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030037,Male,Urban,Family Issue,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Sports / Exercise,highly stressed,Fairly Often,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
190330272,Male,Urban,Health Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Sometimes,Online class during day time,Not at all effective,Average,"Yes, but I would like to change a few things"
180330160,Female,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, absolutely"
2010030003,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030136,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Confusion,Difficulty sharing ideas,Sports / Exercise,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
180330213,Female,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Online class during day time,Moderately effective,Average,"Yes, but I would like to change a few things"
190330140,Female,Urban,Health Issue,Difficulty communicating,Anxlety or fear,Headaches,Difficulty Concentrating,Difficulty sharing ideas,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Not at all effective,Average,"No, there are quite a few challenges"
2010030XXX,Male,Urban,Health Issue,"Inability to rest, relax or let down",Anxlety or fear,Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Computer Games,Average Stressed,Sometimes,Online class during day time,Not at all effective,Average,Never
190330064,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Not Stressed at All,Almost Never,Never feel stressed,Extremely effective,Very good,"Yes, absolutely"
190330282,Male,Rural,Health Issue,Change in activity levels,Anxlety or fear,Headaches,Confusion,Difficulty sharing ideas,Sports / Exercise,Not Stressed at All,Almost Never,Online class during day time,Slightly effective,Very good,"Yes, absolutely"
2010080053,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
180330258,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Computer Games,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330133,Female,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Very effective,Average,"No, there are quite a few challenges"
180330140,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends","Digestion Problem, Upset stomach, nausea, diarrhea","Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Bad,Never
180330114,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330285,Male,Urban,Family Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Not at all effective,Very Bad,Never
180330200,Female,Urban,Health Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
180330024,Female,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330087,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Not Stressed at All,Never,Never feel stressed,Not at all effective,Good,"Yes, absolutely"
180330292,Male,Urban,Feeling no stress,Difficulty communicating,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Less Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
180030632,Male,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sports / Exercise,highly stressed,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
180330008,Female,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
180330229,Male,Urban,Health Issue,"Inability to rest, relax or let down",Anxlety or fear,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Less Stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
180330056,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Sometimes,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
180330175,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Never,Never feel stressed,Moderately effective,Good,"Yes, but I would like to change a few things"
180330162,Male,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,No cognitive effect,No social effect,,Not Stressed at All,Never,Never feel stressed,Moderately effective,Average,"Yes, but I would like to change a few things"
180330057,Female,Urban,Feeling no stress,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Not at all effective,Average,"Yes, but I would like to change a few things"
2010030007,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down",Anxlety or fear,Headaches,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
190330292,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Almost Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
180330204,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sleeping,highly stressed,Fairly Often,Online class during evening time,Not at all effective,Average,"No, there are quite a few challenges"
190330029,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"No, there are quite a few challenges"
190330176,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Very Often,Assignment submision deadline,Not at all effective,Very Bad,Never
190330070,Female,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Very Often,Assignment submision deadline,Moderately effective,Very Bad,"Yes, but I would like to change a few things"
190330112,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,highly stressed,Sometimes,Online class during day time,Extremely effective,Average,"Yes, but I would like to change a few things"
190330040,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,highly stressed,Sometimes,Online class during evening time,Extremely effective,Average,"Yes, but I would like to change a few things"
190330019,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",No physical effect,"Slowness in thinking, analyzing, or comprehending",No social effect,Sleeping,highly stressed,Fairly Often,Assignment submision deadline,Slightly effective,Bad,"No, there are quite a few challenges"
180330017,Female,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sports / Exercise,Average Stressed,Almost Never,Online class during evening time,Very effective,Good,"Yes, but I would like to change a few things"
2010040098,Male,Rural,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Talking with someone,Average Stressed,Very Often,Assignment submision deadline,Moderately effective,Bad,"No, there are quite a few challenges"
180330125,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,highly stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"Yes, absolutely"
190330151,Female,Rural,Health Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
190330109,Female,Urban,Feeling no stress,Change in activity levels,No psychological and emotional effect,Headaches,Difficulty Concentrating,No social effect,Sports / Exercise,Average Stressed,Sometimes,Never feel stressed,Slightly effective,Average,"Yes, but I would like to change a few things"
2010080037,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sleeping,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
2010040102,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Social Media,Less Stressed,Sometimes,Assignment submision deadline,Not at all effective,Very good,"Yes, absolutely"
2010040076,Male,Urban,Environmental Background Noise,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Very Often,Online class during day time,Not at all effective,Very Bad,Never
190330096,Female,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Sometimes,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
2010080047,Male,Urban,Feeling no stress,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Sometimes,Online class during day time,Slightly effective,Average,"No, there are quite a few challenges"
2010040066,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Fairly Often,Assignment submision deadline,Slightly effective,Bad,"No, there are quite a few challenges"
2010030362,Female,Urban,Feeling no stress,"Inability to rest, relax or let down",Anxlety or fear,Eye problem due to online class,No cognitive effect,No social effect,Social Media,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
190330034,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
170330003,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,Not Stressed at All,Almost Never,Assignment submision deadline,Extremely effective,Very good,"Yes, absolutely"
2010080075,Male,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Sports / Exercise,Average Stressed,Sometimes,Online class during day time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030568,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,Confusion,Withdrawing or isolating from people,Sports / Exercise,highly stressed,Almost Never,Online class during day time,Very effective,Good,"No, there are quite a few challenges"
2010030119,Female,Urban,Feeling no stress,Difficulty communicating,"Sadness, moodiness, grief or depression",Tremors or muscle twitching,Difficulty Concentrating,Withdrawing or isolating from people,Social Media,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
190330039,Male,Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,No cognitive effect,Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Sometimes,Online class during evening time,Moderately effective,Very good,"Yes, but I would like to change a few things"
190330096,Female,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Almost Never,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
2010030551,Male,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
2010030065,Male,Rural,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression","Digestion Problem, Upset stomach, nausea, diarrhea",Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Very Often,Online Examination time,Extremely effective,Very Bad,Never
180330079,Male,Rural,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Slightly effective,Average,Never
190330066,Male,Urban,Health Issue,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",No social effect,Sleeping,highly stressed,Very Often,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
180330114,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
2010040102,Male,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Never,Online Examination time,Not at all effective,Very good,"Yes, absolutely"
180330083,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,Confusion,No social effect,Computer Games,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
190330292,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Almost Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
180330204,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sleeping,highly stressed,Fairly Often,Online class during evening time,Not at all effective,Average,"No, there are quite a few challenges"
190330029,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"No, there are quite a few challenges"
190330176,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Very Often,Assignment submision deadline,Not at all effective,Very Bad,Never
190330244,Male,Rural,Health Issue,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Almost Never,Online class during day time,Not at all effective,Very Bad,Never
2010040057,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Eating,Less Stressed,Never,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
190330141,Male,Rural,Feeling no stress,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Tremors or muscle twitching,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, absolutely"
180330006,Female,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Not at all effective,Bad,"No, there are quite a few challenges"
180330025,Female,Urban,Environmental Background Noise,Difficulty communicating,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Almost Never,Online class during evening time,Moderately effective,Average,"No, there are quite a few challenges"
2010030536,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Computer Games,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
190330214,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,Average Stressed,Fairly Often,Online Examination time,Slightly effective,Average,Never
2010030325,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down",Anxlety or fear,No physical effect,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Computer Games,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, absolutely"
190330093,Female,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
2010040089,Female,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",No physical effect,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
2010080001,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Social Media,highly stressed,Very Often,Online class during day time,Not at all effective,Very Bad,Never
2010030165,Female,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Computer Games,Average Stressed,Never,Assignment submision deadline,Slightly effective,Good,"Yes, absolutely"
180330161,Male,Urban,Family Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Talking with someone,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030191,Male,Urban,Health Issue,Change in activity levels,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Sometimes,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030493,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,Average Stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030179,Male,Urban,Health Issue,Decreased efficiency and effectiveness,Anxlety or fear,No physical effect,Difficulty Concentrating,No social effect,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Very effective,Very good,"Yes, absolutely"
190330244,Male,Rural,Health Issue,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Almost Never,Online class during day time,Not at all effective,Very Bad,Never
2010040057,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Eating,Less Stressed,Never,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
2010040056,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Eating,Less Stressed,Never,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
180330216,Male,Urban,Environmental Background Noise,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Eating,Less Stressed,Sometimes,Online class during day time,Moderately effective,Good,"No, there are quite a few challenges"
180330188,Male,Urban,Environmental Background Noise,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010080054,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Social Media,Not Stressed at All,Never,Never feel stressed,Very effective,Very good,"Yes, absolutely"
180330225,Male,Urban,Health Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Talking with someone,highly stressed,Almost Never,Assignment submision deadline,Not at all effective,Average,"No, there are quite a few challenges"
2010040011,Female,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010040043,Female,Urban,Feeling no stress,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during day time,Slightly effective,Very Bad,"Yes, but I would like to change a few things"
2010040011,Female,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030532,Male,Urban,Health Issue,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Computer Games,Not Stressed at All,Never,Never feel stressed,Not at all effective,Very good,"Yes, but I would like to change a few things"
2010030201,Male,Urban,Environmental Background Noise,Change in activity levels,No psychological and emotional effect,No physical effect,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Never,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030194,Male,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Less Stressed,Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010040041,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Less Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"No, there are quite a few challenges"
2010030065,Male,Rural,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression","Digestion Problem, Upset stomach, nausea, diarrhea",Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Very Often,Online Examination time,Extremely effective,Very Bad,Never
180330079,Male,Rural,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Slightly effective,Average,Never
2010030296,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,highly stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
2010030168,Female,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Less Stressed,Sometimes,Assignment submision deadline,Very effective,Very good,"Yes, absolutely"
